Nat,Pokemon,Form,Species,HP,Atk,Def,SpA,SpD,Spe,Type I,Type II,Ability I,Ability II,Hidden Ability,Catch Rate,Mass (kg),Height (m),Base Egg Steps,Gender (%M,EXP to 100,Growth,Gen,Evolves from,Evolution chain id,Color id,Shape id,Habitat id (FRLG versions),Base Happiness
303,Mawile,Mega,Deceiver,50,105,125,55,95,50,Steel,Fairy,Huge Power,,,45,23.5,1,5140,50,800000,F,3,0,150,1,12,1,70
304,Aron,,Iron Armor,50,70,100,40,40,30,Steel,Rock,Sturdy,Rock Head,Heavy Metal,180,60,0.4,8995,50,1250000,S,3,0,151,4,8,4,35
305,Lairon,,Iron Armor,60,90,140,50,50,40,Steel,Rock,Sturdy,Rock Head,Heavy Metal,90,120,0.9,8995,50,1250000,S,3,304,151,4,8,4,35
306,Aggron,,Iron Armor,70,110,180,60,60,50,Steel,Rock,Sturdy,Rock Head,Heavy Metal,45,360,2.1,8995,50,1250000,S,3,305,151,4,6,4,35
306,Aggron,Mega,Iron Armor,70,140,230,60,80,50,Steel,,Filter,,,45,395,2.2,8995,50,1250000,S,3,305,151,4,6,4,35
307,Meditite,,Meditate,30,40,55,40,55,60,Fighting,Psychic,Pure Power,,Telepathy,180,11.2,0.6,5140,50,1000000,MF,3,0,152,2,12,4,70
308,Medicham,,Meditate,60,60,75,60,75,80,Fighting,Psychic,Pure Power,,Telepathy,90,31.5,1.3,5140,50,1000000,MF,3,307,152,8,12,4,70
308,Medicham,Mega,Meditate,60,100,85,80,85,100,Fighting,Psychic,Pure Power,,,90,31.5,1.3,5140,50,1000000,MF,3,307,152,8,12,4,70
309,Electrike,,Lightning,40,45,40,65,40,65,Electric,,Static,Lightning Rod,Minus,120,15.2,0.6,5140,50,1250000,S,3,0,153,5,8,3,70
310,Manectric,,Discharge,70,75,60,105,60,105,Electric,,Static,Lightning Rod,Minus,45,40.2,1.5,5140,50,1250000,S,3,309,153,10,8,3,70
310,Manectric,Mega,Discharge,70,75,80,135,80,135,Electric,,Intimidate,,,45,44,1.8,5140,50,1250000,S,3,309,153,10,8,3,70
311,Plusle,,Cheering,60,50,40,85,75,95,Electric,,Plus,,,200,4.2,0.4,5140,50,1000000,MF,3,0,154,10,6,3,70
312,Minun,,Cheering,60,40,50,75,85,95,Electric,,Minus,,,200,4.2,0.4,5140,50,1000000,MF,3,0,155,10,6,3,70
313,Volbeat,,Firefly,65,73,55,47,75,85,Bug,,Illuminate,Swarm,Prankster,150,17.7,0.7,3855,100,600000,E,3,0,156,4,6,2,70
314,Illumise,,Firefly,65,47,55,73,75,85,Bug,,Oblivious,Tinted Lens,Prankster,150,17.7,0.6,3855,0,1640000,Fl,3,0,157,7,12,2,70
315,Roselia,,Thorn,50,60,45,100,80,65,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,150,2,0.3,5140,50,1059860,MS,3,406,158,5,12,3,70
316,Gulpin,,Stomach,70,43,53,43,53,40,Poison,,Liquid Ooze,Sticky Hold,Gluttony,225,10.3,0.4,5140,50,1640000,Fl,3,0,159,5,4,3,70
317,Swalot,,Poison Bag,100,73,83,73,83,55,Poison,,Liquid Ooze,Sticky Hold,Gluttony,75,80,1.7,5140,50,1640000,Fl,3,316,159,7,4,3,70
318,Carvanha,,Savage,45,90,20,65,20,65,Water,Dark,Rough Skin,,Speed Boost,225,20.8,0.8,5140,50,1250000,S,3,0,160,8,3,7,35
319,Sharpedo,,Brutal,70,120,40,95,40,95,Water,Dark,Rough Skin,,Speed Boost,60,88.8,1.8,5140,50,1250000,S,3,318,160,2,3,7,35
319,Sharpedo,Mega,Brutal,70,140,70,110,65,105,Water,Dark,Strong Jaw,,,60,130.3,2.5,5140,50,1250000,S,3,318,160,2,3,7,35
320,Wailmer,,Ball Whale,130,70,35,70,35,60,Water,,Water Veil,Oblivious,Pressure,125,130,2,10280,50,1640000,Fl,3,0,161,2,3,7,70
321,Wailord,,Float Whale,170,90,45,90,45,60,Water,,Water Veil,Oblivious,Pressure,60,398,14.5,10280,50,1640000,Fl,3,320,161,2,3,7,70
322,Numel,,Numb,60,60,40,65,45,35,Fire,Ground,Oblivious,Simple,Own Tempo,255,24,0.7,5140,50,1000000,MF,3,0,162,10,8,4,70
323,Camerupt,,Eruption,70,100,70,105,75,40,Fire,Ground,Magma Armor,Solid Rock,Anger Point,150,220,1.9,5140,50,1000000,MF,3,322,162,8,8,4,70
323,Camerupt,Mega,Eruption,70,120,100,145,105,20,Fire,Ground,Sheer Force,,,150,320.5,2.5,5140,50,1000000,MF,3,322,162,8,8,4,70
324,Torkoal,,Coal,70,85,140,85,70,20,Fire,,White Smoke,,Shell Armor,90,80.4,0.5,5140,50,1000000,MF,3,0,163,3,8,4,70
325,Spoink,,Bounce,60,25,35,70,80,60,Psychic,,Thick Fat,Own Tempo,Gluttony,255,30.6,0.7,5140,50,800000,F,3,0,164,1,4,4,70
326,Grumpig,,Manipulate,80,45,65,90,110,80,Psychic,,Thick Fat,Own Tempo,Gluttony,60,71.5,0.9,5140,50,800000,F,3,325,164,7,6,4,70
327,Spinda,,Spot Panda,60,60,60,60,60,60,Normal,,Own Tempo,Tangled Feet,Contrary,255,5,1.1,3855,50,800000,F,3,0,165,3,6,4,70
328,Trapinch,,Ant Pit,45,100,45,45,45,10,Ground,,Hyper Cutter,Arena Trap,Sheer Force,255,15,0.7,5140,50,1059860,MS,3,0,166,3,14,6,70
329,Vibrava,,Vibration,50,70,50,50,50,70,Ground,Dragon,Levitate,,,120,15.3,1.1,5140,50,1059860,MS,3,328,166,5,13,6,70
330,Flygon,,Mystic,80,100,80,80,80,100,Ground,Dragon,Levitate,,,45,82,2,5140,50,1059860,MS,3,329,166,5,9,6,70
331,Cacnea,,Cactus,50,85,40,85,40,35,Grass,,Sand Veil,,Water Absorb,190,51.3,0.4,5140,50,1059860,MS,3,0,167,5,12,6,35
332,Cacturne,,Scarecrow,70,115,60,115,60,55,Grass,Dark,Sand Veil,,Water Absorb,60,77.4,1.3,5140,50,1059860,MS,3,331,167,5,12,6,35
333,Swablu,,Cotton Bird,45,40,60,40,75,50,Normal,Flying,Natural Cure,,Cloud Nine,255,1.2,0.4,5140,50,600000,E,3,0,168,2,9,2,70
334,Altaria,,Humming,75,70,90,70,105,80,Dragon,Flying,Natural Cure,,Cloud Nine,45,20.6,1.1,5140,50,600000,E,3,333,168,2,9,2,70
334,Altaria,Mega,Humming,75,110,110,110,105,80,Dragon,Fairy,Pixilate,,,45,20.6,1.5,5140,50,600000,E,3,333,168,2,9,2,70
335,Zangoose,,Cat Ferret,73,115,60,60,60,90,Normal,,Immunity,,Poison Rampage,90,40.3,1.3,5140,50,600000,E,3,0,169,9,6,3,70
336,Seviper,,Fang Snake,73,100,60,100,60,65,Poison,,Shed Skin,,Infiltrator,90,52.5,2.7,5140,50,1640000,Fl,3,0,170,1,2,3,70
337,Lunatone,,Meteorite,70,55,65,95,85,70,Rock,Psychic,Levitate,,,45,168,1,6425,Genderless,800000,F,3,0,171,10,1,1,70
338,Solrock,,Meteorite,70,95,85,55,65,70,Rock,Psychic,Levitate,,,45,154,1.2,6425,Genderless,800000,F,3,0,172,8,1,1,70
339,Barboach,,Whiskers,50,48,43,46,41,60,Water,Ground,Oblivious,Anticipation,Hydration,190,1.9,0.4,5140,50,1000000,MF,3,0,173,4,3,9,70
340,Whiscash,,Whiskers,110,78,73,76,71,60,Water,Ground,Oblivious,Anticipation,Hydration,75,23.6,0.9,5140,50,1000000,MF,3,339,173,2,3,9,70
341,Corphish,,Ruffian,43,80,65,50,35,35,Water,,Hyper Cutter,Shell Armor,Adaptability,205,11.5,0.6,3855,50,1640000,Fl,3,0,174,8,14,9,70
342,Crawdaunt,,Rogue,63,120,85,90,55,55,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,155,32.8,1.1,3855,50,1640000,Fl,3,341,174,8,14,9,70
343,Baltoy,,Clay Doll,40,40,55,40,70,55,Ground,Psychic,Levitate,,,255,21.5,0.5,5140,Genderless,1000000,MF,3,0,175,3,4,6,70
344,Claydol,,Clay Doll,60,70,105,70,120,75,Ground,Psychic,Levitate,,,90,108,1.5,5140,Genderless,1000000,MF,3,343,175,1,4,6,70
345,Lileep,,Sea Lily,66,41,77,61,87,23,Rock,Grass,Suction Cups,,Storm Drain,45,23.8,1,7710,87.5,600000,E,3,0,176,7,5,7,70
346,Cradily,,Barnacle,86,81,97,81,107,43,Rock,Grass,Suction Cups,,Storm Drain,45,60.4,1.5,7710,87.5,600000,E,3,345,176,5,5,7,70
347,Anorith,,Old Shrimp,45,95,50,40,50,75,Rock,Bug,Battle Armor,,Swift Swim,45,12.5,0.7,7710,87.5,600000,E,3,0,177,4,14,9,70
348,Armaldo,,Plate,75,125,100,70,80,45,Rock,Bug,Battle Armor,,Swift Swim,45,68.2,1.5,7710,87.5,600000,E,3,347,177,4,6,9,70
349,Feebas,,Fish,20,15,20,10,55,80,Water,,Swift Swim,,Adaptability,255,7.4,0.6,5140,50,600000,E,3,0,178,3,3,9,70
350,Milotic,,Tender,95,60,79,100,125,81,Water,,Marvel Scale,,Cute Charm,60,162,6.2,5140,50,600000,E,3,349,178,6,2,9,70
351,Castform,,Weather,70,70,70,70,70,70,Normal,,Forecast,,,45,0.8,0.3,6425,50,1000000,MF,3,0,179,9,1,3,70
352,Kecleon,,Color Swap,60,90,70,60,120,40,Normal,,Color Change,,,200,22,1,5140,50,1059860,MS,3,0,180,5,6,2,70
353,Shuppet,,Puppet,44,75,35,63,33,45,Ghost,,Insomnia,Frisk,Cursed Body,225,2.3,0.6,6425,50,800000,F,3,0,181,1,1,8,35
354,Banette,,Marionette,64,115,65,83,63,65,Ghost,,Insomnia,Frisk,Cursed Body,45,12.5,1.1,6425,50,800000,F,3,353,181,1,6,8,35
354,Banette,,Marionette,64,165,75,93,83,75,Ghost,,Prankster,,,45,13,1.2,6425,50,800000,F,3,353,181,1,6,8,35
355,Duskull,,Requiem,20,40,90,30,90,25,Ghost,,Levitate,,,190,15,0.8,6425,50,800000,F,3,0,182,1,4,2,35
356,Dusclops,,Beckon,40,70,130,60,130,25,Ghost,,Pressure,,,90,30.6,1.6,6425,50,800000,F,3,355,182,1,12,2,35
357,Tropius,,Fruit,99,68,83,72,87,51,Grass,Flying,Chlorophyll,Solar Power,Harvest,200,100,2,6425,50,1250000,S,3,0,183,5,8,2,70
358,Chimecho,,Wind Chime,65,50,70,95,80,65,Psychic,,Levitate,,,45,1,0.6,6425,50,800000,F,3,433,184,2,4,3,70
359,Absol,,Disaster,65,130,60,75,60,75,Dark,,Pressure,Super Luck,Justified,30,47,1.2,6425,50,1059860,MS,3,0,185,9,8,4,35
359,Absol,Mega,Disaster,65,150,60,115,60,115,Dark,,Magic Bounce,,,30,49,1.2,6425,50,1059860,MS,3,0,185,9,8,4,35
360,Wynaut,,Bright,95,23,48,23,48,23,Psychic,,Shadow Tag,,Telepathy,125,14,0.6,5140,50,1000000,MF,3,0,100,2,6,1,70
361,Snorunt,,Snow Hat,50,50,50,50,50,50,Ice,,Inner Focus,Ice Body,Moody,190,16.8,0.7,5140,50,1000000,MF,3,0,186,4,12,1,70
362,Glalie,,Face,80,80,80,80,80,80,Ice,,Inner Focus,Ice Body,Moody,75,256.5,1.5,5140,50,1000000,MF,3,361,186,4,1,1,70
362,Glalie,Mega,Face,80,120,80,120,80,100,Ice,,Refrigerate,,,75,350.2,2.1,5140,50,1000000,MF,3,361,186,4,1,1,70
363,Spheal,,Clap,70,40,50,55,50,25,Ice,Water,Thick Fat,Ice Body,Oblivious,255,39.5,0.8,5140,50,1059860,MS,3,0,187,2,3,7,70
364,Sealeo,,Ball Roll,90,60,70,75,70,45,Ice,Water,Thick Fat,Ice Body,Oblivious,120,87.6,1.1,5140,50,1059860,MS,3,363,187,2,3,7,70
365,Walrein,,Ice Break,110,80,90,95,90,65,Ice,Water,Thick Fat,Ice Body,Oblivious,45,150.6,1.4,5140,50,1059860,MS,3,364,187,2,8,7,70
366,Clamperl,,Bivalve,35,64,85,74,55,32,Water,,Shell Armor,,Rattled,255,52.5,0.4,5140,50,600000,E,3,0,188,2,1,7,70
367,Huntail,,Deep Sea,55,104,105,94,75,52,Water,,Swift Swim,,Water Veil,60,27,1.7,5140,50,600000,E,3,366,188,2,2,7,70
368,Gorebyss,,South Sea,55,84,105,114,75,52,Water,,Swift Swim,,Hydration,60,22.6,1.8,5140,50,600000,E,3,366,188,6,2,7,70
369,Relicanth,,Longevity,100,90,130,45,65,55,Water,Rock,Swift Swim,Rock Head,Sturdy,25,23.4,1,10280,87.5,1250000,S,3,0,189,4,3,7,70
370,Luvdisc,,Rendezvous,43,30,55,40,65,97,Water,,Swift Swim,,Hydration,225,8.7,0.6,5140,25,800000,F,3,0,190,6,3,7,70
371,Bagon,,Rock Head,45,75,60,40,30,50,Dragon,,Rock Head,,Sheer Force,45,42.1,0.6,10280,50,1250000,S,3,0,191,2,12,6,35
372,Shelgon,,Endurance,65,95,100,60,50,50,Dragon,,Rock Head,,Overcoat,45,110.5,1.1,10280,50,1250000,S,3,371,191,9,8,6,35
373,Salamence,,Dragon,95,135,80,110,80,100,Dragon,Flying,Intimidate,,Moxie,45,102.6,1.5,10280,50,1250000,S,3,372,191,2,8,6,35
373,Salamence,Mega,Dragon,95,145,130,120,90,120,Dragon,Flying,Aerilate,,,45,112.6,1.8,10280,50,1250000,S,3,372,191,2,8,6,35
374,Beldum,,Iron Ball,40,55,80,35,60,30,Steel,Psychic,Clear Body,,Light Metal,3,95.2,0.6,10280,Genderless,1250000,S,3,0,192,2,5,6,35
375,Metang,,Iron Claw,60,75,100,55,80,50,Steel,Psychic,Clear Body,,Light Metal,3,202.5,1.2,10280,Genderless,1250000,S,3,374,192,2,4,6,35
376,Metagross,,Iron Leg,80,135,130,95,90,70,Steel,Psychic,Clear Body,,Light Metal,3,550,1.6,10280,Genderless,1250000,S,3,375,192,2,11,6,35
376,Metagross,Mega,Iron Leg,80,145,150,105,110,110,Steel,Psychic,Tough Claws,,,3,942.9,2.5,10280,Genderless,1250000,S,3,375,192,2,11,6,35
377,Regirock,,Rock Peak,80,100,200,50,100,50,Rock,,Clear Body,,Sturdy,3,230,1.7,20560,Genderless,1250000,S,3,0,193,3,12,1,35
378,Regice,,Iceberg,80,50,100,100,200,50,Ice,,Clear Body,,Ice Body,3,175,1.8,20560,Genderless,1250000,S,3,0,194,2,12,1,35
379,Registeel,,Iron,80,75,150,75,150,50,Steel,,Clear Body,,Light Metal,3,205,1.9,20560,Genderless,1250000,S,3,0,195,4,12,1,35
380,Latias,,Eon,80,80,90,110,130,110,Dragon,Psychic,Levitate,,,3,40,1.4,30840,0,1250000,S,3,0,196,8,9,9,90
380,Latias,Mega,Eon,80,100,120,140,150,110,Dragon,Psychic,Levitate,,,3,52,1.8,30840,0,1250000,S,3,0,196,8,9,9,90
381,Latios,,Eon,80,90,80,130,110,110,Dragon,Psychic,Levitate,,,3,60,2,30840,100,1250000,S,3,0,197,2,9,9,90
381,Latios,Mega,Eon,80,130,110,160,120,110,Dragon,Psychic,Levitate,,,3,70,2.3,30840,100,1250000,S,3,0,197,2,9,9,90
382,Kyogre,,Sea Basin,100,100,90,150,140,90,Water,,Drizzle,,,5,352,4.5,30840,Genderless,1250000,S,3,0,198,2,3,7,0
382,Kyogre,Primal,Sea Basin,100,150,90,180,160,90,Water,,Primordial Sea,,,5,430,9.8,30840,Genderless,1250000,S,3,0,198,2,3,7,0
383,Groudon,,Continent,100,150,140,100,90,90,Ground,,Drought,,,5,950,3.5,30840,Genderless,1250000,S,3,0,199,8,6,6,0
383,Groudon,Primal,Continent,100,180,160,150,90,90,Ground,,Desolate Land,,,5,999.7,5,30840,Genderless,1250000,S,3,0,199,8,6,6,0
384,Rayquaza,,Sky High,105,150,90,150,90,95,Dragon,Flying,Air Lock,,,3,206.5,7,30840,Genderless,1250000,S,3,0,200,5,2,5,0
384,Rayquaza,Mega,Sky High,105,180,100,180,100,115,Dragon,Flying,Delta Stream,,,3,392,10.8,30840,Genderless,1250000,S,3,0,200,5,2,5,0
385,Jirachi,,Wish,100,100,100,100,100,100,Steel,Psychic,Serene Grace,,,3,1.1,0.3,30840,Genderless,1250000,S,3,0,201,10,12,4,100
386,Deoxys,Normal Forme,DNA,50,150,50,150,50,150,Psychic,,Pressure,,,3,60.8,1.7,30840,Genderless,1250000,S,3,0,202,8,12,5,0
386,Deoxys,Attack Forme,DNA,50,180,20,180,20,150,Psychic,,Pressure,,,3,60.8,1.7,30840,Genderless,1250000,S,3,0,202,8,12,5,0
386,Deoxys,Defense Forme,DNA,50,70,160,70,160,90,Psychic,,Pressure,,,3,60.8,1.7,30840,Genderless,1250000,S,3,0,202,8,12,5,0
386,Deoxys,Speed Forme,DNA,50,95,90,95,90,180,Psychic,,Pressure,,,3,60.8,1.7,30840,Genderless,1250000,S,3,0,202,8,12,5,0
387,Turtwig,,Tiny Leaf,55,68,64,45,55,31,Grass,,Overgrow,,Shell Armor,45,10.2,0.4,5140,87.5,1059860,MS,4,0,203,5,8,0,70
388,Grotle,,Grove,75,89,85,55,65,36,Grass,,Overgrow,,Shell Armor,45,97,1.1,5140,87.5,1059860,MS,4,387,203,5,8,0,70
389,Torterra,,Continent,95,109,105,75,85,56,Grass,Ground,Overgrow,,Shell Armor,45,310,2.2,5140,87.5,1059860,MS,4,388,203,5,8,0,70
390,Chimchar,,Chimp,44,58,44,58,44,61,Fire,,Blaze,,Iron Fist,45,6.2,0.5,5140,87.5,1059860,MS,4,0,204,3,6,0,70
391,Monferno,,Playful,64,78,52,78,52,81,Fire,Fighting,Blaze,,Iron Fist,45,22,0.9,5140,87.5,1059860,MS,4,390,204,3,6,0,70
392,Infernape,,Flame,76,104,71,104,71,108,Fire,Fighting,Blaze,,Iron Fist,45,55,1.2,5140,87.5,1059860,MS,4,391,204,3,6,0,70
393,Piplup,,Penguin,53,51,53,61,56,40,Water,,Torrent,,Defiant,45,5.2,0.4,5140,87.5,1059860,MS,4,0,205,2,12,0,70
394,Prinplup,,Penguin,64,66,68,81,76,50,Water,,Torrent,,Defiant,45,23,0.8,5140,87.5,1059860,MS,4,393,205,2,6,0,70
395,Empoleon,,Emperor,84,86,88,111,101,60,Water,Steel,Torrent,,Defiant,45,84.5,1.7,5140,87.5,1059860,MS,4,394,205,2,6,0,70
396,Starly,,Starling,40,55,30,30,30,60,Normal,Flying,Keen Eye,,,255,2,0.3,3855,50,1059860,MS,4,0,206,3,9,0,70
397,Staravia,,Starling,55,75,50,40,40,80,Normal,Flying,Intimidate,,Reckless,120,15.5,0.6,3855,50,1059860,MS,4,396,206,3,9,0,70
398,Staraptor,,Predator,85,120,70,50,60,100,Normal,Flying,Intimidate,,Reckless,45,24.9,1.2,3855,50,1059860,MS,4,397,206,3,9,0,70
399,Bidoof,,Plump Mouse,59,45,40,35,40,31,Normal,,Simple,Unaware,Moody,255,20,0.5,3855,50,1000000,MF,4,0,207,3,8,0,70
400,Bibarel,,Beaver,79,85,60,60,71,55,Normal,Water,Simple,Unaware,Moody,127,31.5,1,3855,50,1000000,MF,4,399,207,3,6,0,70
401,Kricketot,,Cricket,37,25,41,25,41,25,Bug,,Shed Skin,,Run Away,255,2.2,0.3,3855,50,1059860,MS,4,0,208,8,12,0,70
402,Kricketune,,Cricket,77,85,51,55,51,65,Bug,,Swarm,,Technician,45,25.5,1,3855,50,1059860,MS,4,401,208,8,13,0,70
403,Shinx,,Flash,45,65,34,40,34,45,Electric,,Rivalry,Intimidate,Guts,235,9.5,0.5,5140,50,1059860,MS,4,0,209,2,8,0,70
404,Luxio,,Spark,60,85,49,60,49,60,Electric,,Rivalry,Intimidate,Guts,120,30.5,0.9,5140,50,1059860,MS,4,403,209,2,8,0,100
405,Luxray,,Gleam Eyes,80,120,79,95,79,70,Electric,,Rivalry,Intimidate,Guts,45,42,1.4,5140,50,1059860,MS,4,404,209,2,8,0,70
406,Budew,,Bud,40,30,35,50,70,55,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,255,1.2,0.2,5140,50,1059860,MS,4,0,158,5,12,0,70
407,Roserade,,Bouquet,60,70,65,125,105,90,Grass,Poison,Natural Cure,Poison Point,Technician,75,14.5,0.9,5140,50,1059860,MS,4,315,158,5,12,0,70
408,Cranidos,,Head Butt,67,125,40,30,30,58,Rock,,Mold Breaker,,Sheer Force,45,31.5,0.9,7710,87.5,600000,E,4,0,211,2,6,0,70
409,Rampardos,,Head Butt,97,165,60,65,50,58,Rock,,Mold Breaker,,Sheer Force,45,102.5,1.6,7710,87.5,600000,E,4,408,211,2,6,0,70
410,Shieldon,,Shield,30,42,118,42,88,30,Rock,Steel,Sturdy,,Soundproof,45,57,0.5,7710,87.5,600000,E,4,0,212,4,8,0,70
411,Bastiodon,,Shield,60,52,168,47,138,30,Rock,Steel,Sturdy,,Soundproof,45,149.5,1.3,7710,87.5,600000,E,4,410,212,4,8,0,70
412,Burmy,Plant Cloak,Bagworm,40,29,45,29,45,36,Bug,,Shed Skin,,Overcoat,120,3.4,0.2,3855,50,1000000,MF,4,0,213,4,2,0,70
412,Burmy,Sandy Cloak,Bagworm,40,29,45,29,45,36,Bug,,Shed Skin,,Overcoat,120,3.4,0.2,3855,50,1000000,MF,4,0,213,4,2,0,70
412,Burmy,Trash Cloak,Bagworm,40,29,45,29,45,36,Bug,,Shed Skin,,Overcoat,120,3.4,0.2,3855,50,1000000,MF,4,0,213,4,2,0,70
413,Wormadam,Plant Cloak,Bagworm,60,59,85,79,105,36,Bug,Grass,Anticipation,,Overcoat,45,6.5,0.5,3855,0,1000000,MF,4,412,213,4,2,0,70
413,Wormadam,Sandy Cloak,Bagworm,60,79,105,59,85,36,Bug,Ground,Anticipation,,Overcoat,45,6.5,0.5,3855,0,1000000,MF,4,412,213,4,2,0,70
413,Wormadam,Trash Cloak,Bagworm,60,69,95,69,95,36,Bug,Steel,Anticipation,,Overcoat,45,6.5,0.5,3855,0,1000000,MF,4,412,213,4,2,0,70
414,Mothim,,Moth,70,94,50,94,50,66,Bug,Flying,Swarm,,Tinted Lens,45,23.3,0.9,3855,100,1000000,MF,4,412,213,10,13,0,70
415,Combee,,Tiny Bee,30,30,42,30,42,70,Bug,Flying,Honey Gather,,Hustle,120,5.5,0.3,3855,87.5,1059860,MS,4,0,214,10,11,0,70
416,Vespiquen,,Beehive,70,80,102,80,102,40,Bug,Flying,Pressure,,Unnerve,45,38.5,1.2,3855,0,1059860,MS,4,415,214,10,9,0,70
417,Pachirisu,,EleSquirrel,60,45,70,45,90,95,Electric,,Run Away,Pickup,Volt Absorb,200,3.9,0.4,2570,50,1000000,MF,4,0,215,9,8,0,100
418,Buizel,,Sea Weasel,55,65,35,60,30,85,Water,,Swift Swim,,Water Veil,190,29.5,0.7,5140,50,1000000,MF,4,0,216,3,8,0,70
419,Floatzel,,Sea Weasel,85,105,55,85,50,115,Water,,Swift Swim,,Water Veil,75,33.5,1.1,5140,50,1000000,MF,4,418,216,3,8,0,70
420,Cherubi,,Cherry,45,35,45,62,53,35,Grass,,Chlorophyll,,,190,3.3,0.4,5140,50,1000000,MF,4,0,217,6,11,0,70
421,Cherrim,,Blossom,70,60,70,87,78,85,Grass,,Flower Gift,,,75,9.3,0.5,5140,50,1000000,MF,4,420,217,6,7,0,70
422,Shellos,,Sea Slug,76,48,48,57,62,34,Water,,Sticky Hold,Storm Drain,Sand Force,190,6.3,0.3,5140,50,1000000,MF,4,0,218,7,14,0,70
423,Gastrodon,,Sea Slug,111,83,68,92,82,39,Water,Ground,Sticky Hold,Storm Drain,Sand Force,75,29.9,0.9,5140,50,1000000,MF,4,422,218,7,14,0,70
424,Ambipom,,Long Tail,75,100,66,60,66,115,Normal,,Technician,Pickup,Skill Link,45,20.3,1.2,5140,50,800000,F,4,190,93,7,6,0,100
425,Drifloon,,Balloon,90,50,34,60,44,70,Ghost,Flying,Aftermath,Unburden,Flare Boost,125,1.2,0.4,7710,50,1640000,Fl,4,0,219,7,4,0,70
426,Drifblim,,Blimp,150,80,44,90,54,80,Ghost,Flying,Aftermath,Unburden,Flare Boost,60,15,1.2,7710,50,1640000,Fl,4,425,219,7,4,0,70
427,Buneary,,Rabbit,55,66,44,44,56,85,Normal,,Run Away,Klutz,Limber,190,5.5,0.4,5140,50,1000000,MF,4,0,220,3,6,0,0
428,Lopunny,,Rabbit,65,76,84,54,96,105,Normal,,Cute Charm,Klutz,Limber,60,33.3,1.2,5140,50,1000000,MF,4,427,220,3,6,0,140
428,Lopunny,Mega,Rabbit,65,136,94,54,96,135,Normal,Fighting,Scrappy,,,60,28.3,1.3,5140,50,1000000,MF,4,427,220,3,6,0,140
429,Mismagius,,Magical,60,60,60,105,105,105,Ghost,,Levitate,,,45,4.4,0.9,5140,50,800000,F,4,200,98,7,1,0,35
430,Honchkrow,,Big Boss,100,125,52,105,52,71,Dark,Flying,Insomnia,Super Luck,Moxie,30,27.3,0.9,5140,50,1059860,MS,4,198,97,1,9,0,35
431,Glameow,,Catty,49,55,42,42,37,85,Normal,,Limber,Own Tempo,Keen Eye,190,3.9,0.5,5140,25,800000,F,4,0,221,4,8,0,70
432,Purugly,,Tiger Cat,71,82,64,64,59,112,Normal,,Thick Fat,Own Tempo,Defiant,75,43.8,1,5140,25,800000,F,4,431,221,4,8,0,70
433,Chingling,,Bell,45,30,50,65,50,45,Psychic,,Levitate,,,120,0.6,0.2,6425,50,800000,F,4,0,184,10,12,0,70
434,Stunky,,Skunk,63,63,47,41,41,74,Poison,Dark,Stench,Aftermath,Keen Eye,225,19.2,0.4,5140,50,1000000,MF,4,0,223,7,8,0,70
435,Skuntank,,Skunk,103,93,67,71,61,84,Poison,Dark,Stench,Aftermath,Keen Eye,60,38,1,5140,50,1000000,MF,4,434,223,7,8,0,70
436,Bronzor,,Bronze,57,24,86,24,86,23,Steel,Psychic,Levitate,Heatproof,Heavy Metal,255,60.5,0.5,5140,Genderless,1000000,MF,4,0,224,5,1,0,70
437,Bronzong,,Bronze Bell,67,89,116,79,116,33,Steel,Psychic,Levitate,Heatproof,Heavy Metal,90,187,1.3,5140,Genderless,1000000,MF,4,436,224,5,4,0,70
438,Bonsly,,Bonsal,50,80,95,10,45,10,Rock,,Sturdy,Rock Head,Rattled,255,15,0.5,5140,50,1000000,MF,4,0,91,3,7,0,70
439,Mime Jr.,,Mime,20,25,45,70,90,60,Psychic,Fairy,Soundproof,Filter,Technician,145,13,0.6,6425,50,1000000,MF,4,0,57,6,12,0,70
440,Happiny,,Playhouse,100,5,5,15,65,30,Normal,,Natural Cure,Serene Grace,Friend Guard,130,24.4,0.6,10280,0,800000,F,4,0,51,6,12,0,140
441,Chatot,,Music Note,76,65,45,92,42,91,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,30,1.9,0.5,5140,50,1059860,MS,4,0,228,1,9,0,35
442,Spiritomb,,Forbidden,50,92,108,92,108,35,Ghost,Dark,Pressure,,Infiltrator,100,108,1,7710,50,1000000,MF,4,0,229,7,5,0,70
443,Gible,,Land Shark,58,70,45,40,45,42,Dragon,Ground,Sand Veil,,Rough Skin,45,20.5,0.7,10280,50,1250000,S,4,0,230,2,6,0,70
444,Gabite,,Cave,68,90,65,50,55,82,Dragon,Ground,Sand Veil,,Rough Skin,45,56,1.4,10280,50,1250000,S,4,443,230,2,6,0,70
445,Garchomp,,Mach,108,130,95,80,85,102,Dragon,Ground,Sand Veil,,Rough Skin,45,95,1.9,10280,50,1250000,S,4,444,230,2,6,0,70
445,Garchomp,Mega,Mach,108,170,115,120,95,92,Dragon,Ground,Sand Force,,,45,95,1.9,10280,50,1250000,S,4,444,230,2,6,0,70
